vacancy_id,client_id,role_title,role_family,priority,opened_date,status,filled_date,target_monthly_rate_usd
V00044,C0019,Web Developer,Technical,Urgent,2026-03-10,filled,2026-04-08,1500
V00045,C0019,Customer Support Agent,Customer Support,Standard,2025-08-22,cancelled,,2100
V00046,C0019,Operations Assistant,Executive VA,Standard,2026-01-23,filled,2026-02-07,1200
V00047,C0020,Helpdesk Agent,Customer Support,Urgent,2025-05-15,on_hold,,1000
V00048,C0020,Executive Assistant,Executive VA,Standard,2026-01-21,filled,2026-02-08,1500
V00049,C0021,Helpdesk Agent,Customer Support,High,2025-04-26,filled,2025-05-13,1800
V00050,C0022,Automation Specialist,Technical,Urgent,2025-03-20,filled,2025-04-01,1000
V00051,C0023,Sales Development Rep,Sales VA,Standard,2026-04-27,filled,2026-05-09,2100
V00052,C0023,Cold Caller,Sales VA,Standard,2025-09-06,filled,2025-09-28,800
V00053,C0023,Sales Development Rep,Sales VA,Standard,2025-10-09,filled,2025-10-24,1500
V00054,C0024,Operations Assistant,Executive VA,High,2025-11-24,filled,2025-12-14,1200
V00055,C0025,Web Developer,Technical,High,2025-12-10,cancelled,,1200
V00056,C0025,Accounts Payable Clerk,Bookkeeping,Standard,2026-01-05,open,,1500
V00057,C0025,Accounts Payable Clerk,Bookkeeping,Standard,2026-05-11,filled,2026-05-17,1000
V00058,C0025,Operations Assistant,Executive VA,Urgent,2025-07-31,open,,1200
V00059,C0025,Helpdesk Agent,Customer Support,Standard,2025-11-21,on_hold,,800
V00060,C0026,Cold Caller,Sales VA,High,2025-03-03,cancelled,,1200
V00061,C0026,Data Analyst,Technical,Standard,2025-08-17,filled,2025-09-28,1200
V00062,C0026,Executive Assistant,Executive VA,Urgent,2025-07-17,filled,2025-08-07,1500
V00063,C0027,Executive Assistant,Executive VA,High,2025-10-07,cancelled,,2100
V00064,C0028,Accounts Payable Clerk,Bookkeeping,Standard,2026-06-02,open,,2100
V00065,C0028,Cold Caller,Sales VA,Standard,2026-05-05,filled,2026-05-15,2100
V00066,C0028,Helpdesk Agent,Customer Support,High,2026-06-02,filled,2026-06-21,800
V00067,C0028,Social Media Manager,Marketing VA,Standard,2025-09-29,filled,2025-10-25,1200
V00068,C0028,Web Developer,Technical,Standard,2025-03-02,open,,1800
V00069,C0029,Data Analyst,Technical,Standard,2025-02-24,cancelled,,1200
V00070,C0029,Automation Specialist,Technical,High,2025-03-06,on_hold,,1500
V00071,C0030,Helpdesk Agent,Customer Support,Urgent,2025-03-13,filled,2025-04-03,2100
V00072,C0030,Customer Support Agent,Customer Support,High,2025-09-18,filled,2025-10-09,1000
V00073,C0030,Sales Development Rep,Sales VA,Standard,2025-08-28,cancelled,,1200
V00074,C0030,Content Writer,Marketing VA,Standard,2025-09-30,filled,2025-10-21,1800
V00075,C0031,Helpdesk Agent,Customer Support,Standard,2025-05-20,filled,2025-06-06,1200
V00076,C0031,Accounts Payable Clerk,Bookkeeping,Standard,2025-07-05,cancelled,,1800
V00077,C0031,Social Media Manager,Marketing VA,Standard,2025-03-08,filled,2025-03-14,1200
V00078,C0031,Automation Specialist,Technical,High,2026-06-04,open,,1200
V00079,C0031,Appointment Setter,Sales VA,High,2025-10-29,cancelled,,1200
V00080,C0032,Automation Specialist,Technical,Standard,2026-03-25,filled,2026-04-28,800
V00081,C0032,Web Developer,Technical,High,2026-04-28,on_hold,,1800
V00082,C0032,Operations Assistant,Executive VA,Standard,2026-06-11,filled,2026-07-08,1500
V00083,C0032,Bookkeeper,Bookkeeping,Standard,2025-08-29,cancelled,,2100
V00084,C0032,Automation Specialist,Technical,High,2025-11-25,filled,2025-12-25,2100
V00085,C0033,Executive Assistant,Executive VA,High,2025-10-03,filled,2025-10-18,1200
V00086,C0033,Operations Assistant,Executive VA,Standard,2025-06-21,filled,2025-07-16,2100
V00087,C0033,Operations Assistant,Executive VA,Standard,2026-07-16,open,,1200
V00088,C0033,Automation Specialist,Technical,Standard,2026-06-16,filled,2026-06-11,800
V00089,C0034,Email Marketer,Marketing VA,Urgent,2026-07-15,open,,800
V00090,C0035,Data Analyst,Technical,Standard,2025-12-01,filled,2026-01-01,1200
V00091,C0035,Helpdesk Agent,Customer Support,Standard,2025-09-18,filled,2025-09-29,1200
V00092,C0036,Helpdesk Agent,Customer Support,Standard,2025-04-01,cancelled,,1800
V00093,C0036,Operations Assistant,Executive VA,Standard,2025-06-07,filled,2025-06-30,1000
V00094,C0036,Web Developer,Technical,High,2025-10-10,cancelled,,800
V00095,C0036,Data Analyst,Technical,Standard,2025-06-25,filled,2025-07-24,1800
V00096,C0037,Email Marketer,Marketing VA,Standard,2026-05-09,cancelled,,1500
V00097,C0038,Sales Development Rep,Sales VA,Standard,2026-03-31,cancelled,,800
V00098,C0038,Executive Assistant,Executive VA,Standard,2025-10-21,filled,2025-11-06,1000
V00099,C0038,Accounts Payable Clerk,Bookkeeping,Standard,2025-03-18,filled,2025-04-23,800
V00100,C0038,Helpdesk Agent,Customer Support,Standard,2026-05-25,filled,2026-06-06,1000
V00101,C0039,Helpdesk Agent,Customer Support,Standard,2025-04-22,filled,2025-05-03,800
V00102,C0039,Data Analyst,Technical,Standard,2025-04-08,cancelled,,1200
V00103,C0040,Accounts Payable Clerk,Bookkeeping,Urgent,2026-06-03,filled,2026-06-28,1800
V00104,C0041,Helpdesk Agent,Customer Support,Standard,2025-12-13,on_hold,,2100
V00105,C0042,Operations Assistant,Executive VA,Standard,2025-11-21,cancelled,,1800
V00106,C0043,Sales Development Rep,Sales VA,Standard,2025-05-14,on_hold,,800
V00107,C0044,Accounts Payable Clerk,Bookkeeping,Standard,2026-06-07,filled,2026-07-03,1800
V00108,C0044,Executive Assistant,Executive VA,High,2026-03-29,on_hold,,2100
V00109,C0044,Accounts Payable Clerk,Bookkeeping,Standard,2026-01-21,filled,2026-02-24,1000
V00110,C0045,Content Writer,Marketing VA,High,2025-10-27,cancelled,,1200
V00111,C0045,Content Writer,Marketing VA,High,2026-04-19,filled,2026-05-09,1800
V00112,C0045,Content Writer,Marketing VA,High,2025-11-10,on_hold,,1800
V00113,C0045,Content Writer,Marketing VA,Standard,2026-02-25,cancelled,,1000
V00114,C0045,Web Developer,Technical,Standard,2026-02-25,cancelled,,1800
V00115,C0046,Operations Assistant,Executive VA,Standard,2025-06-13,cancelled,,1800
V00116,C0047,Operations Assistant,Executive VA,Standard,2025-08-29,on_hold,,1200
V00117,C0047,Social Media Manager,Marketing VA,High,2025-05-25,filled,2025-06-06,800
V00118,C0047,Appointment Setter,Sales VA,Urgent,2026-07-08,open,,800
V00119,C0048,Data Analyst,Technical,Standard,2026-01-08,filled,2026-02-07,2100
V00120,C0048,Sales Development Rep,Sales VA,Standard,2026-05-08,filled,2026-05-17,1000
V00121,C0049,Helpdesk Agent,Customer Support,Standard,2025-10-04,filled,2025-10-19,1000
V00122,C0050,Appointment Setter,Sales VA,Standard,2025-10-07,filled,2025-10-19,1000
V00123,C0050,Customer Support Agent,Customer Support,Urgent,2026-04-02,filled,2026-04-26,1800
V00124,C0051,Accounts Payable Clerk,Bookkeeping,Standard,2025-08-18,cancelled,,1800
V00125,C0051,Accounts Payable Clerk,Bookkeeping,Standard,2026-06-11,open,,1200
V00126,C0051,Web Developer,Technical,Standard,2025-06-24,on_hold,,1800
V00127,C0052,Web Developer,Technical,High,2025-09-26,cancelled,,1000
V00128,C0053,Web Developer,Technical,Standard,2025-06-19,filled,2025-07-23,1500
V00129,C0054,Cold Caller,Sales VA,Standard,2025-11-13,filled,2025-12-06,2100
V00130,C0054,Bookkeeper,Bookkeeping,High,2025-09-19,filled,2025-11-02,1500
V00131,C0054,Appointment Setter,Sales VA,Standard,2025-11-01,on_hold,,2100
V00132,C0055,Email Marketer,Marketing VA,Standard,2026-04-24,cancelled,,800
V00133,C0056,Operations Assistant,Executive VA,Standard,2026-04-22,cancelled,,800
V00134,C0057,Operations Assistant,Executive VA,Standard,2025-04-22,filled,2025-05-16,1500
V00135,C0057,Content Writer,Marketing VA,Urgent,2026-01-31,filled,2026-02-19,1800
V00136,C0058,Bookkeeper,Bookkeeping,Standard,2025-07-01,cancelled,,800
V00137,C0059,Email Marketer,Marketing VA,High,2025-06-12,cancelled,,1800
V00138,C0059,Bookkeeper,Bookkeeping,High,2025-08-17,filled,2025-08-26,1000
V00139,C0059,Operations Assistant,Executive VA,High,2025-08-24,cancelled,,1800
V00140,C0059,Bookkeeper,Bookkeeping,Standard,2025-08-10,on_hold,,1000
V00141,C0059,Operations Assistant,Executive VA,Standard,2025-06-14,filled,2025-07-05,1800
V00142,C0060,Customer Support Agent,Customer Support,Standard,2025-12-21,filled,2026-01-13,1200
V00143,C0060,Email Marketer,Marketing VA,Standard,2025-05-10,filled,2025-05-22,1800
V00144,C0060,Executive Assistant,Executive VA,Standard,2026-02-19,filled,2026-03-15,1200
V00145,C0061,Customer Support Agent,Customer Support,Standard,2025-06-16,filled,2025-07-07,1000
V00146,C0061,Bookkeeper,Bookkeeping,Standard,2025-07-04,cancelled,,1800
V00147,C0061,Data Analyst,Technical,High,2026-05-16,filled,2026-06-16,1200
V00148,C0061,Social Media Manager,Marketing VA,Urgent,2026-01-02,cancelled,,1200
V00149,C0062,Customer Support Agent,Customer Support,Standard,2026-04-21,cancelled,,1800
V00150,C0062,Customer Support Agent,Customer Support,Standard,2025-08-21,cancelled,,1000
V00151,C0063,Bookkeeper,Bookkeeping,Standard,2026-06-27,open,,2100
V00152,C0063,Bookkeeper,Bookkeeping,Standard,2025-12-23,cancelled,,1500
V00153,C0063,Content Writer,Marketing VA,Standard,2025-07-16,on_hold,,1200
V00154,C0064,Social Media Manager,Marketing VA,Standard,2026-04-25,cancelled,,1500
V00155,C0064,Cold Caller,Sales VA,High,2026-06-26,filled,2026-07-09,1500
V00156,C0064,Operations Assistant,Executive VA,Standard,2025-08-05,filled,2025-08-28,1800
V00157,C0064,Content Writer,Marketing VA,Standard,2025-11-21,on_hold,,1000
V00158,C0065,Helpdesk Agent,Customer Support,Standard,2025-11-03,cancelled,,800
V00159,C0066,Web Developer,Technical,High,2025-08-22,cancelled,,800
V00160,C0066,Helpdesk Agent,Customer Support,Standard,2026-07-01,filled,2026-07-13,2100
V00161,C0067,Operations Assistant,Executive VA,High,2025-11-01,cancelled,,1800
V00162,C0067,Helpdesk Agent,Customer Support,Standard,2025-07-16,filled,2025-08-01,1000
V00163,C0067,Data Analyst,Technical,Standard,2025-04-23,filled,2025-05-10,1200
V00164,C0068,Customer Support Agent,Customer Support,Standard,2025-11-07,cancelled,,800
V00165,C0068,Operations Assistant,Executive VA,Standard,2025-05-17,cancelled,,1500
V00166,C0069,Operations Assistant,Executive VA,Urgent,2026-05-20,filled,2026-05-31,1200
V00167,C0070,Helpdesk Agent,Customer Support,High,2025-12-23,filled,2026-01-24,1500
V00168,C0070,Sales Development Rep,Sales VA,Standard,2025-07-29,filled,2025-08-15,1500
V00169,C0070,Cold Caller,Sales VA,Standard,2025-05-22,filled,2025-06-21,1500
V00170,C0071,Helpdesk Agent,Customer Support,High,2025-09-07,cancelled,,800
V00171,C0071,Operations Assistant,Executive VA,Standard,2025-07-29,cancelled,,1500
V00172,C0071,Operations Assistant,Executive VA,Standard,2025-06-18,filled,2025-07-09,1800
V00173,C0072,Bookkeeper,Bookkeeping,Standard,2025-09-11,filled,2025-10-07,1800
V00174,C0072,Appointment Setter,Sales VA,High,2025-12-20,filled,2026-01-01,1200
V00175,C0072,Email Marketer,Marketing VA,Standard,2025-11-23,filled,2025-12-02,800
V00176,C0073,Cold Caller,Sales VA,High,2025-09-21,on_hold,,1500
V00177,C0073,Bookkeeper,Bookkeeping,Standard,2025-11-19,filled,2025-12-11,1500
V00178,C0073,Email Marketer,Marketing VA,Standard,2025-12-26,filled,2026-02-07,1000
V00179,C0074,Social Media Manager,Marketing VA,Standard,2025-09-08,cancelled,,2100
V00180,C0074,Accounts Payable Clerk,Bookkeeping,High,2026-01-30,filled,2026-03-01,2100
V00181,C0075,Appointment Setter,Sales VA,Standard,2026-04-07,filled,2026-05-05,1200
V00182,C0075,Email Marketer,Marketing VA,Standard,2025-07-07,on_hold,,2100
V00183,C0076,Helpdesk Agent,Customer Support,High,2025-08-18,filled,2025-09-05,1800
V00184,C0077,Automation Specialist,Technical,High,2025-08-14,cancelled,,1800
V00185,C0077,Bookkeeper,Bookkeeping,Urgent,2025-06-15,filled,2025-06-27,800
V00186,C0077,Helpdesk Agent,Customer Support,Standard,2025-09-12,cancelled,,1200
V00187,C0078,Accounts Payable Clerk,Bookkeeping,Urgent,2025-12-14,filled,2026-01-01,1500
V00188,C0079,Sales Development Rep,Sales VA,Standard,2026-06-15,open,,800
V00189,C0080,Content Writer,Marketing VA,Standard,2026-03-05,cancelled,,1200
V00190,C0080,Sales Development Rep,Sales VA,Standard,2026-01-31,filled,2026-02-12,1200
V00191,C0081,Accounts Payable Clerk,Bookkeeping,Standard,2025-12-02,filled,2026-01-19,1500
V00192,C0081,Web Developer,Technical,Urgent,2026-02-05,filled,2026-02-27,800
V00193,C0082,Helpdesk Agent,Customer Support,High,2025-10-01,cancelled,,1200
V00194,C0082,Automation Specialist,Technical,High,2025-07-23,filled,2025-08-29,1000
V00195,C0082,Operations Assistant,Executive VA,Standard,2025-12-11,filled,2025-12-26,1800
V00196,C0083,Helpdesk Agent,Customer Support,High,2026-03-10,cancelled,,1800
V00197,C0083,Accounts Payable Clerk,Bookkeeping,Standard,2025-09-11,cancelled,,1800
V00198,C0083,Appointment Setter,Sales VA,Urgent,2025-11-27,cancelled,,1500
V00199,C0084,Content Writer,Marketing VA,High,2025-09-24,on_hold,,1000
V00200,C0085,Accounts Payable Clerk,Bookkeeping,Standard,2025-08-14,cancelled,,1200
V00201,C0086,Social Media Manager,Marketing VA,Standard,2026-06-03,filled,2026-07-05,2100
V00202,C0086,Helpdesk Agent,Customer Support,High,2026-06-19,filled,2026-07-12,1000
V00203,C0087,Automation Specialist,Technical,Standard,2025-07-12,filled,2025-08-09,2100
V00204,C0088,Content Writer,Marketing VA,High,2025-08-20,cancelled,,1000
V00205,C0088,Automation Specialist,Technical,High,2025-08-11,filled,2025-09-15,2100
V00206,C0088,Accounts Payable Clerk,Bookkeeping,Urgent,2025-08-13,cancelled,,1800
V00207,C0088,Accounts Payable Clerk,Bookkeeping,Standard,2025-07-18,cancelled,,800
V00208,C0089,Social Media Manager,Marketing VA,Standard,2026-01-29,filled,2026-02-16,1800
V00209,C0090,Data Analyst,Technical,Standard,2025-08-26,filled,2025-09-26,1200
V00210,C0090,Operations Assistant,Executive VA,Standard,2026-01-25,filled,2026-02-10,1200
V00211,C0090,Cold Caller,Sales VA,Standard,2025-06-07,cancelled,,1000
V00212,C0090,Bookkeeper,Bookkeeping,Standard,2026-06-24,filled,2026-07-14,1500
V00213,C0090,Social Media Manager,Marketing VA,High,2026-06-29,open,,1500
V00214,C0091,Web Developer,Technical,Standard,2025-08-26,cancelled,,1200
V00215,C0091,Data Analyst,Technical,Urgent,2026-01-27,filled,2026-02-27,1000
V00216,C0091,Content Writer,Marketing VA,High,2025-10-09,filled,2025-10-21,1000
V00217,C0091,Helpdesk Agent,Customer Support,Standard,2026-04-29,cancelled,,800
V00218,C0092,Cold Caller,Sales VA,Standard,2025-12-19,filled,2025-12-26,1500
V00219,C0092,Sales Development Rep,Sales VA,Standard,2025-09-07,filled,2025-09-20,800
V00220,C0092,Email Marketer,Marketing VA,Standard,2026-02-06,filled,2026-03-19,800
V00221,C0093,Executive Assistant,Executive VA,Standard,2025-06-09,filled,2025-06-22,800
V00222,C0094,Sales Development Rep,Sales VA,High,2026-02-07,cancelled,,1000
V00223,C0094,Automation Specialist,Technical,High,2025-07-18,filled,2025-08-31,1800
V00224,C0094,Appointment Setter,Sales VA,High,2026-02-03,filled,2026-03-12,1200
V00225,C0094,Social Media Manager,Marketing VA,Standard,2026-01-23,cancelled,,1800
V00226,C0095,Cold Caller,Sales VA,High,2025-07-18,cancelled,,1200
V00227,C0096,Accounts Payable Clerk,Bookkeeping,High,2026-02-19,filled,2026-03-26,800
V00228,C0096,Executive Assistant,Executive VA,Standard,2026-03-31,cancelled,,1200
V00229,C0096,Sales Development Rep,Sales VA,High,2026-05-14,cancelled,,800
V00230,C0097,Bookkeeper,Bookkeeping,Standard,2026-06-25,filled,2026-07-25,1000
V00231,C0098,Data Analyst,Technical,Standard,2026-01-15,filled,2026-02-03,1200
V00232,C0099,Sales Development Rep,Sales VA,Urgent,2026-03-02,filled,2026-03-31,1500
V00233,C0100,Operations Assistant,Executive VA,Standard,2026-05-18,on_hold,,2100
V00234,C0100,Web Developer,Technical,Standard,2026-07-03,open,,1500
V00235,C0101,Appointment Setter,Sales VA,Urgent,2026-03-26,filled,2026-04-06,1800
V00236,C0102,Customer Support Agent,Customer Support,Urgent,2025-07-11,filled,2025-07-29,2100
V00237,C0102,Accounts Payable Clerk,Bookkeeping,Urgent,2025-11-30,filled,2025-12-14,2100
V00238,C0102,Helpdesk Agent,Customer Support,Standard,2025-08-31,filled,2025-09-14,1200
V00239,C0102,Accounts Payable Clerk,Bookkeeping,Standard,2025-10-04,filled,2025-10-27,800
V00240,C0102,Operations Assistant,Executive VA,High,2025-09-10,filled,2025-09-30,1800
V00241,C0103,Helpdesk Agent,Customer Support,Standard,2026-05-22,on_hold,,1000
V00242,C0103,Sales Development Rep,Sales VA,Standard,2026-06-27,filled,2026-07-12,1200
V00243,C0103,Appointment Setter,Sales VA,Standard,2026-01-11,cancelled,,1800
V00244,C0104,Content Writer,Marketing VA,Urgent,2026-01-26,filled,2026-02-15,1800
V00245,C0104,Sales Development Rep,Sales VA,Urgent,2025-09-04,on_hold,,2100
V00246,C0104,Sales Development Rep,Sales VA,High,2026-06-06,filled,2026-06-17,1500
V00247,C0104,Web Developer,Technical,Standard,2026-04-02,filled,2026-04-21,1500
V00248,C0105,Cold Caller,Sales VA,Standard,2026-01-27,filled,2026-02-21,1800
V00249,C0106,Automation Specialist,Technical,Standard,2025-07-25,cancelled,,1800
V00250,C0106,Content Writer,Marketing VA,Urgent,2026-06-26,filled,2026-07-18,800
V00251,C0106,Email Marketer,Marketing VA,Standard,2026-04-02,on_hold,,1500
V00252,C0106,Social Media Manager,Marketing VA,Standard,2026-05-31,cancelled,,1000
V00253,C0107,Operations Assistant,Executive VA,Standard,2026-02-06,filled,2026-02-23,1500
V00254,C0108,Cold Caller,Sales VA,High,2025-08-02,filled,2025-08-27,1000
V00255,C0108,Helpdesk Agent,Customer Support,High,2025-07-16,filled,2025-07-26,1200
V00256,C0108,Appointment Setter,Sales VA,Standard,2025-10-07,filled,2025-10-28,1000
V00257,C0108,Email Marketer,Marketing VA,High,2026-01-29,cancelled,,1500
V00258,C0108,Customer Support Agent,Customer Support,Standard,2025-11-15,cancelled,,2100
V00259,C0109,Content Writer,Marketing VA,Standard,2025-10-10,filled,2025-10-27,1000
V00260,C0109,Operations Assistant,Executive VA,Standard,2025-09-16,filled,2025-10-12,1800
V00261,C0109,Executive Assistant,Executive VA,High,2025-08-07,filled,2025-09-10,1500
V00262,C0109,Bookkeeper,Bookkeeping,Standard,2025-09-17,filled,2025-10-20,800
V00263,C0109,Social Media Manager,Marketing VA,Urgent,2025-10-12,filled,2025-10-30,1000
V00264,C0110,Email Marketer,Marketing VA,Standard,2025-09-24,filled,2025-10-21,1800
V00265,C0110,Helpdesk Agent,Customer Support,Urgent,2025-12-18,cancelled,,1500
V00266,C0110,Helpdesk Agent,Customer Support,Standard,2026-04-30,filled,2026-05-12,1800
V00267,C0110,Email Marketer,Marketing VA,Standard,2025-11-21,filled,2025-12-12,2100
V00268,C0110,Accounts Payable Clerk,Bookkeeping,High,2026-01-31,filled,2026-03-02,1000
V00269,C0111,Helpdesk Agent,Customer Support,Standard,2026-02-07,cancelled,,2100
V00270,C0111,Accounts Payable Clerk,Bookkeeping,Standard,2026-07-01,filled,2026-07-18,1200
V00271,C0112,Accounts Payable Clerk,Bookkeeping,Standard,2025-09-24,on_hold,,1500
V00272,C0112,Helpdesk Agent,Customer Support,High,2026-05-17,filled,2026-06-09,800
V00273,C0112,Automation Specialist,Technical,Standard,2026-04-17,filled,2026-04-14,1500
V00274,C0112,Content Writer,Marketing VA,Urgent,2025-10-29,open,,1000
V00275,C0112,Sales Development Rep,Sales VA,Standard,2026-06-01,cancelled,,1000
V00276,C0113,Operations Assistant,Executive VA,Standard,2026-03-06,cancelled,,1800
V00277,C0114,Cold Caller,Sales VA,Standard,2025-09-12,filled,2025-09-21,1200
V00278,C0114,Automation Specialist,Technical,Standard,2025-12-31,cancelled,,2100
V00279,C0115,Customer Support Agent,Customer Support,Standard,2026-03-16,cancelled,,1800
V00280,C0116,Cold Caller,Sales VA,Standard,2025-08-01,cancelled,,1000
V00281,C0117,Email Marketer,Marketing VA,Standard,2026-01-09,cancelled,,1500
V00282,C0117,Executive Assistant,Executive VA,Standard,2026-06-19,open,,800
V00283,C0118,Customer Support Agent,Customer Support,Standard,2025-11-12,filled,2025-11-23,800
V00284,C0119,Operations Assistant,Executive VA,Standard,2025-10-11,filled,2025-10-26,2100
V00285,C0120,Data Analyst,Technical,Standard,2025-10-03,cancelled,,800
V00286,C0120,Cold Caller,Sales VA,High,2025-10-13,filled,2025-10-25,1800
V00287,C0121,Sales Development Rep,Sales VA,High,2025-11-05,on_hold,,1200
V00288,C0121,Accounts Payable Clerk,Bookkeeping,Standard,2025-12-24,filled,2026-01-05,800
V00289,C0121,Automation Specialist,Technical,High,2026-04-22,filled,2026-05-03,800
V00290,C0122,Customer Support Agent,Customer Support,Standard,2026-07-10,open,,1200
V00291,C0122,Bookkeeper,Bookkeeping,Standard,2025-12-30,filled,2026-01-18,1000
V00292,C0123,Executive Assistant,Executive VA,Standard,2026-07-08,open,,800
V00293,C0123,Sales Development Rep,Sales VA,Standard,2026-07-12,open,,2100
V00294,C0123,Helpdesk Agent,Customer Support,Standard,2026-03-31,on_hold,,1800
V00295,C0124,Appointment Setter,Sales VA,Standard,2026-01-06,cancelled,,1500
V00296,C0124,Helpdesk Agent,Customer Support,Standard,2026-01-24,filled,2026-02-09,1500
V00297,C0124,Executive Assistant,Executive VA,High,2025-09-01,on_hold,,800
V00298,C0125,Data Analyst,Technical,Standard,2026-07-11,open,,800
V00299,C0126,Web Developer,Technical,High,2026-06-06,filled,2026-07-11,1500
V00300,C0126,Data Analyst,Technical,Standard,2026-04-06,cancelled,,1000
V00301,C0126,Operations Assistant,Executive VA,High,2026-01-28,filled,2026-02-01,1500
V00302,C0127,Executive Assistant,Executive VA,High,2025-11-26,on_hold,,2100
V00303,C0127,Executive Assistant,Executive VA,Urgent,2026-06-05,cancelled,,2100
V00304,C0127,Bookkeeper,Bookkeeping,High,2025-12-18,on_hold,,1500
V00305,C0127,Operations Assistant,Executive VA,Urgent,2026-03-07,cancelled,,1800
V00306,C0128,Executive Assistant,Executive VA,Standard,2025-08-05,cancelled,,2100
V00307,C0128,Accounts Payable Clerk,Bookkeeping,Standard,2025-12-27,cancelled,,1500
V00308,C0128,Social Media Manager,Marketing VA,Standard,2025-10-27,filled,2025-11-22,1000
V00309,C0128,Customer Support Agent,Customer Support,Standard,2025-08-14,on_hold,,1800
V00310,C0129,Sales Development Rep,Sales VA,Standard,2026-07-19,open,,1200
V00311,C0130,Bookkeeper,Bookkeeping,Standard,2025-12-26,filled,2026-01-11,1500
V00312,C0130,Executive Assistant,Executive VA,High,2025-12-11,filled,2026-01-04,1000
V00313,C0130,Executive Assistant,Executive VA,Standard,2026-04-21,cancelled,,1000
V00314,C0131,Content Writer,Marketing VA,High,2025-08-08,filled,2025-08-31,2100
V00315,C0131,Customer Support Agent,Customer Support,Standard,2025-11-30,filled,2025-12-12,800
V00316,C0132,Bookkeeper,Bookkeeping,Standard,2026-03-23,filled,2026-04-09,1000
V00317,C0132,Executive Assistant,Executive VA,Urgent,2025-12-26,filled,2026-01-16,1800
