code_ecole,nom_ecole,region,semaine,date_saisie,jours_classe,eleves_inscrits,eleves_presents,eleves_presents_parraines,repas_servis,enseignants_prevus,enseignants_presents
EC013,Ecole Chantal,Sud,7,2026-02-17,5,112,74,39,336,12,12
EC013,Ecole Chantal,Sud,8,2026-02-24,5,112,68,41,332,12,11
EC013,Ecole Chantal,Sud,9,2026-03-03,5,112,60,29,279,12,11
EC013,Ecole Chantal,Sud,10,2026-03-10,5,112,60,32,296,12,12
EC013,Ecole Chantal,Sud,11,2026-03-17,5,112,67,36,328,12,11
EC013,Ecole Chantal,Sud,12,2026-03-24,5,112,71,31,303,12,12
EC014,Ecole Torbeck,Sud,1,2026-01-03,5,112,86,33,399,6,5
EC014,Ecole Torbeck,Sud,2,2026-01-10,5,112,94,37,411,6,5
EC014,Ecole Torbeck,Sud,3,2026-01-17,5,112,84,52,366,6,5
EC014,Ecole Torbeck,Sud,4,2026-01-24,5,112,85,41,403,6,5
EC014,Ecole Torbeck,Sud,5,2026-02-03,5,112,86,41,387,6,5
EC014,Ecole Torbeck,Sud,6,2026-02-10,5,112,84,53,400,6,5
EC014,Ecole Torbeck,Sud,7,2026-02-17,5,112,90,44,398,6,5
EC014,Ecole Torbeck,Sud,8,2026-02-24,5,112,94,41,448,6,6
EC014,Ecole Torbeck,Sud,9,2026-03-03,5,112,82,42,390,6,4
EC014,Ecole Torbeck,Sud,10,2026-03-10,5,112,80,49,384,6,6
EC014,Ecole Torbeck,Sud,11,2026-03-17,5,112,86,35,377,6,6
EC014,Ecole Torbeck,Sud,12,2026-03-24,5,112,97,54,460,6,6
EC015,Ecole Cavaillon,Sud,1,2026-01-03,5,248,245,108,1122,4,3
EC015,Ecole Cavaillon,Sud,2,2026-01-10,5,248,215,83,1060,4,4
EC015,Ecole Cavaillon,Sud,3,2026-01-17,5,248,231,118,1150,4,3
EC015,Ecole Cavaillon,Sud,4,2026-01-24,5,248,235,101,1027,4,3
EC015,Ecole Cavaillon,Sud,5,2026-02-03,5,248,219,129,1007,4,4
EC015,Ecole Cavaillon,Sud,6,2026-02-10,5,248,245,156,1199,4,2
EC015,Ecole Cavaillon,Sud,7,2026-02-17,5,248,205,106,885,4,3
EC015,Ecole Cavaillon,Sud,8,2026-02-24,0,248,245,119,0,4,2
EC015,Ecole Cavaillon,Sud,9,2026-03-03,5,248,205,94,975,4,3
EC015,Ecole Cavaillon,Sud,10,2026-03-10,3,248,235,146,622,4,4
EC015,Ecole Cavaillon,Sud,11,2026-03-17,5,248,198,107,858,4,4
EC015,Ecole Cavaillon,Sud,12,2026-03-24,5,248,225,99,1039,4,4
EC016,Ecole Mirebalais,Centre,1,2026-01-03,5,201,133,61,659,5,3
EC016,Ecole Mirebalais,Centre,2,2026-01-10,5,201,141,67,677,5,5
EC016,Ecole Mirebalais,Centre,3,2026-01-17,5,201,131,70,649,5,5
EC016,Ecole Mirebalais,Centre,4,2026-01-24,3,201,125,51,343,5,5
EC016,Ecole Mirebalais,Centre,5,2026-02-03,5,201,159,81,792,5,5
EC016,Ecole Mirebalais,Centre,6,2026-02-10,5,201,155,67,771,5,4
EC016,Ecole Mirebalais,Centre,7,2026-02-17,5,201,148,94,634,5,5
EC016,Ecole Mirebalais,Centre,8,2026-02-24,5,201,161,62,752,5,5
EC016,Ecole Mirebalais,Centre,9,2026-03-03,5,201,123,73,544,5,5
EC016,Ecole Mirebalais,Centre,10,2026-03-10,5,201,133,70,592,5,5
EC016,Ecole Mirebalais,Centre,11,2026-03-17,5,201,117,44,573,5,5
EC016,Ecole Mirebalais,Centre,12,2026-03-24,2,201,133,70,226,5,5
EC017,Ecole Hinche,Centre,1,2026-01-03,4,220,130,64,502,4,3
EC017,Ecole Hinche,Centre,2,2026-01-10,5,220,148,71,653,4,3
EC017,Ecole Hinche,Centre,3,2026-01-17,3,220,118,43,326,4,3
EC017,Ecole Hinche,Centre,4,2026-01-24,5,220,160,61,765,4,3
EC017,Ecole Hinche,Centre,5,2026-02-03,5,220,167,61,744,4,2
EC017,Ecole Hinche,Centre,6,2026-02-10,5,220,160,90,725,4,3
EC017,Ecole Hinche,Centre,7,2026-02-17,5,220,134,50,640,4,2
EC017,Ecole Hinche,Centre,8,2026-02-24,5,220,156,90,747,4,4
EC017,Ecole Hinche,Centre,9,2026-03-03,5,220,155,92,705,4,2
EC017,Ecole Hinche,Centre,10,2026-03-10,5,220,136,65,645,4,4
EC017,Ecole Hinche,Centre,11,2026-03-17,5,220,139,52,599,4,3
EC017,Ecole Hinche,Centre,12,2026-03-24,5,220,131,74,636,4,3
EC018,Ecole Lascahobas,Centre,1,2026-01-03,3,122,97,59,288,6,5
EC018,Ecole Lascahobas,Centre,2,2026-01-10,5,122,94,53,467,6,5
EC018,Ecole Lascahobas,Centre,3,2026-01-17,5,122,108,42,498,6,6
EC018,Ecole Lascahobas,Centre,4,2026-01-24,5,122,106,54,459,6,6
EC018,Ecole Lascahobas,Centre,5,2026-02-03,5,122,106,68,515,6,5
EC018,Ecole Lascahobas,Centre,6,2026-02-10,5,122,88,45,414,6,4
EC018,Ecole Lascahobas,Centre,7,2026-02-17,5,122,100,56,448,6,6
EC018,Ecole Lascahobas,Centre,8,2026-02-24,5,122,105,42,457,6,4
EC018,Ecole Lascahobas,Centre,9,2026-03-03,5,122,104,37,500,6,6
EC018,Ecole Lascahobas,Centre,10,2026-03-10,5,122,105,51,458,6,6
EC018,Ecole Lascahobas,Centre,11,2026-03-17,5,122,99,37,424,6,6
EC018,Ecole Lascahobas,Centre,12,2026-03-24,5,122,88,32,379,6,5
EC019,Ecole Boucan-Carre,Centre,1,2026-01-03,5,147,93,40,447,11,11
EC019,Ecole Boucan-Carre,Centre,2,2026-01-10,5,147,103,39,490,11,10
EC019,Ecole Boucan-Carre,Centre,3,2026-01-17,5,147,101,47,474,11,11
EC019,Ecole Boucan-Carre,Centre,4,2026-01-24,5,147,100,63,482,11,11
EC019,Ecole Boucan-Carre,Centre,5,2026-02-03,5,147,110,52,478,11,10
EC019,Ecole Boucan-Carre,Centre,6,2026-02-10,5,147,109,54,531,11,11
EC019,Ecole Boucan-Carre,Centre,7,2026-02-17,5,147,104,36,513,11,11
EC019,Ecole Boucan-Carre,Centre,8,2026-02-24,5,147,100,52,478,11,10
EC019,Ecole Boucan-Carre,Centre,9,2026-03-03,5,147,79,31,391,11,10
EC019,Ecole Boucan-Carre,Centre,10,2026-03-10,5,147,111,69,479,11,11
EC019,Ecole Boucan-Carre,Centre,11,2026-03-17,5,147,89,41,398,11,11
EC019,Ecole Boucan-Carre,Centre,12,2026-03-24,5,147,92,53,396,11,9
EC020,Ecole Savanette,Centre,1,2026-01-03,5,215,174,79,834,6,4
EC020,Ecole Savanette,Centre,2,2026-01-10,5,215,200,84,871,6,6
EC020,Ecole Savanette,Centre,3,2026-01-17,5,215,212,78,1052,6,4
EC020,Ecole Savanette,Centre,4,2026-01-24,5,215,212,122,1021,6,5
EC020,Ecole Savanette,Centre,5,2026-02-03,5,215,212,136,952,6,4
EC020,Ecole Savanette,Centre,6,2026-02-10,5,215,189,91,869,6,4
EC020,Ecole Savanette,Centre,7,2026-02-17,5,215,201,100,901,6,5
EC020,Ecole Savanette,Centre,8,2026-02-24,3,215,206,123,532,6,6
EC020,Ecole Savanette,Centre,9,2026-03-03,5,215,181,93,876,6,6
EC020,Ecole Savanette,Centre,10,2026-03-10,5,215,195,115,924,6,6
EC020,Ecole Savanette,Centre,11,2026-03-17,5,215,163,79,791,6,6
EC020,Ecole Savanette,Centre,12,2026-03-24,5,215,195,73,923,6,6
EC021,Ecole Thomonde,Centre,1,2026-01-03,5,303,263,133,0,7,7
EC021,Ecole Thomonde,Centre,2,2026-01-10,5,303,289,180,0,7,6
EC021,Ecole Thomonde,Centre,3,2026-01-17,5,303,268,157,0,7,5
EC021,Ecole Thomonde,Centre,4,2026-01-24,5,303,299,134,0,7,6
EC021,Ecole Thomonde,Centre,5,2026-02-03,5,303,275,150,0,7,6
EC021,Ecole Thomonde,Centre,6,2026-02-10,5,303,299,134,0,7,6
EC021,Ecole Thomonde,Centre,7,2026-02-17,5,303,295,161,0,7,5
EC021,Ecole Thomonde,Centre,8,2026-02-24,5,303,273,144,0,7,7
EC021,Ecole Thomonde,Centre,9,2026-03-03,5,303,249,147,0,7,5
EC021,Ecole Thomonde,Centre,10,2026-03-10,5,303,295,187,0,7,5
EC021,Ecole Thomonde,Centre,11,2026-03-17,5,303,295,148,0,7,7
EC021,Ecole Thomonde,Centre,12,2026-03-24,5,303,287,115,0,7,7
EC022,Ecole Gonaives,Artibonite,1,2026-01-03,5,235,141,91,615,8,8
EC022,Ecole Gonaives,Artibonite,2,2026-01-10,5,235,131,49,632,8,6
EC022,Ecole Gonaives,Artibonite,3,2026-01-17,5,235,153,88,665,8,7
EC022,Ecole Gonaives,Artibonite,4,2026-01-24,5,235,144,58,686,8,7
EC022,Ecole Gonaives,Artibonite,5,2026-02-03,5,235,148,70,704,8,8
EC022,Ecole Gonaives,Artibonite,6,2026-02-10,5,235,154,82,741,8,7
EC022,Ecole Gonaives,Artibonite,7,2026-02-17,5,235,143,83,704,8,8
EC022,Ecole Gonaives,Artibonite,8,2026-02-24,5,235,177,112,882,8,7
EC022,Ecole Gonaives,Artibonite,9,2026-03-03,5,235,136,64,594,8,8
EC022,Ecole Gonaives,Artibonite,10,2026-03-10,5,235,117,45,519,8,6
EC022,Ecole Gonaives,Artibonite,11,2026-03-17,5,235,111,62,514,8,8
EC022,Ecole Gonaives,Artibonite,12,2026-03-24,5,235,157,90,699,8,7
EC023,Ecole Saint-Marc,Artibonite,1,2026-01-03,5,188,125,52,0,10,9
EC023,Ecole Saint-Marc,Artibonite,2,2026-01-10,5,188,160,100,0,10,9
EC023,Ecole Saint-Marc,Artibonite,3,2026-01-17,3,188,153,70,0,10,10
EC023,Ecole Saint-Marc,Artibonite,4,2026-01-24,5,188,186,70,0,10,8
EC023,Ecole Saint-Marc,Artibonite,5,2026-02-03,5,188,151,65,0,10,9
EC023,Ecole Saint-Marc,Artibonite,6,2026-02-10,5,188,144,56,0,10,8
EC023,Ecole Saint-Marc,Artibonite,7,2026-02-17,5,188,132,46,0,10,10
EC023,Ecole Saint-Marc,Artibonite,8,2026-02-24,5,188,134,68,0,10,8
EC023,Ecole Saint-Marc,Artibonite,9,2026-03-03,5,188,127,53,0,10,10
EC023,Ecole Saint-Marc,Artibonite,10,2026-03-10,4,188,153,82,0,10,9
EC023,Ecole Saint-Marc,Artibonite,11,2026-03-17,5,188,163,86,0,10,10
EC023,Ecole Saint-Marc,Artibonite,12,2026-03-24,5,188,160,83,0,10,8
EC024,Ecole Dessalines,Artibonite,1,2026-01-03,5,134,111,46,506,11,9
EC024,Ecole Dessalines,Artibonite,2,2026-01-10,5,134,126,63,569,11,10
EC024,Ecole Dessalines,Artibonite,3,2026-01-17,5,134,124,44,608,11,11
EC024,Ecole Dessalines,Artibonite,4,2026-01-24,5,134,112,72,497,11,11
EC024,Ecole Dessalines,Artibonite,5,2026-02-03,5,134,127,69,549,11,10
EC024,Ecole Dessalines,Artibonite,6,2026-02-10,5,134,124,55,531,11,10
EC024,Ecole Dessalines,Artibonite,7,2026-02-17,5,134,112,62,558,11,10
EC024,Ecole Dessalines,Artibonite,8,2026-02-24,5,134,110,65,472,11,10
EC024,Ecole Dessalines,Artibonite,9,2026-03-03,2,134,123,44,243,11,10
EC024,Ecole Dessalines,Artibonite,10,2026-03-10,5,134,119,70,548,11,11
EC024,Ecole Dessalines,Artibonite,11,2026-03-17,5,134,120,70,587,11,11
EC024,Ecole Dessalines,Artibonite,12,2026-03-24,5,134,124,73,567,11,10
EC025,Ecole Verrettes,Artibonite,1,2026-01-03,5,317,208,133,961,12,11
EC025,Ecole Verrettes,Artibonite,2,2026-01-10,5,317,181,106,805,12,12
EC025,Ecole Verrettes,Artibonite,3,2026-01-17,5,317,216,128,1006,12,12
EC025,Ecole Verrettes,Artibonite,4,2026-01-24,5,317,205,91,916,12,11
EC025,Ecole Verrettes,Artibonite,5,2026-02-03,5,317,167,76,715,12,12
EC025,Ecole Verrettes,Artibonite,6,2026-02-10,5,317,206,98,974,12,12
EC025,Ecole Verrettes,Artibonite,7,2026-02-17,5,317,181,106,861,12,12
EC025,Ecole Verrettes,Artibonite,8,2026-02-24,5,317,179,95,865,12,12
EC025,Ecole Verrettes,Artibonite,9,2026-03-03,5,317,186,85,922,12,12
EC025,Ecole Verrettes,Artibonite,10,2026-03-10,5,317,211,116,1046,12,12
EC025,Ecole Verrettes,Artibonite,11,2026-03-17,5,317,193,88,865,12,12
EC025,Ecole Verrettes,Artibonite,12,2026-03-24,5,317,188,72,902,12,11
EC026,Ecole Petite-Riviere,Artibonite,1,2026-01-03,5,218,151,87,721,11,11
EC026,Ecole Petite-Riviere,Artibonite,2,2026-01-10,5,218,142,61,701,11,10
EC026,Ecole Petite-Riviere,Artibonite,3,2026-01-17,5,218,149,59,712,11,11
EC026,Ecole Petite-Riviere,Artibonite,4,2026-01-24,5,218,149,95,743,11,9
EC026,Ecole Petite-Riviere,Artibonite,5,2026-02-03,5,218,161,99,787,11,9
EC026,Ecole Petite-Riviere,Artibonite,6,2026-02-10,5,218,152,85,665,11,11
EC026,Ecole Petite-Riviere,Artibonite,7,2026-02-17,5,218,152,59,736,11,11
EC026,Ecole Petite-Riviere,Artibonite,8,2026-02-24,5,218,152,79,699,11,10
EC026,Ecole Petite-Riviere,Artibonite,9,2026-03-03,5,218,143,67,684,11,10
EC026,Ecole Petite-Riviere,Artibonite,10,2026-03-10,5,218,136,78,661,11,11
EC026,Ecole Petite-Riviere,Artibonite,11,2026-03-17,5,218,137,67,635,11,11
EC026,Ecole Petite-Riviere,Artibonite,12,2026-03-24,5,218,144,84,681,11,11
EC027,Ecole Ennery,Artibonite,1,2026-01-03,5,273,239,145,1164,5,4
EC027,Ecole Ennery,Artibonite,2,2026-01-10,5,273,240,95,1078,5,3
EC027,Ecole Ennery,Artibonite,3,2026-01-17,5,273,245,106,1055,5,5
EC027,Ecole Ennery,Artibonite,4,2026-01-24,5,273,220,113,955,5,5
EC027,Ecole Ennery,Artibonite,5,2026-02-03,5,273,246,129,1152,5,5
EC027,Ecole Ennery,Artibonite,6,2026-02-10,5,273,239,135,1124,5,4
EC027,Ecole Ennery,Artibonite,7,2026-02-17,0,273,261,151,0,5,5
EC027,Ecole Ennery,Artibonite,8,2026-02-24,5,273,246,116,1163,5,4
EC027,Ecole Ennery,Artibonite,9,2026-03-03,5,273,195,85,864,5,3
EC027,Ecole Ennery,Artibonite,10,2026-03-10,5,273,211,102,1005,5,5
EC027,Ecole Ennery,Artibonite,11,2026-03-17,5,273,207,110,928,5,3
