placement_id,vacancy_id,candidate_id,client_id,start_date,monthly_rate_usd,placement_fee_usd,status,end_date
P00052,V00096,K03531,C0046,2026-03-11,1400,2517.0,active,
P00053,V00097,K00007,C0046,2025-06-07,1800,2562.0,active,
P00054,V00098,K02730,C0047,2025-09-17,750,2921.0,active,
P00055,V00101,K01923,C0050,2025-12-31,1100,3128.0,replaced,2026-04-04
P00056,V00102,K01372,C0050,2025-05-18,0,2031.0,active,
P00057,V00104,K03053,C0050,2026-02-23,1000,1949.0,replaced,2026-03-31
P00058,V00105,K03175,C0051,2026-01-18,1100,2447.0,active,
P00059,V00108,K02942,C0052,2025-11-02,1250,1445.0,active,
P00060,V00109,K02875,C0052,2025-08-27,1200,1931.0,active,
P00061,V00110,K03484,C0053,2026-02-18,700,1480.0,active,
P00062,V00113,K03567,C0054,2025-06-17,1400,1499.0,active,
P00063,V00114,K01718,C0054,2026-02-22,1650,3018.0,active,
P00064,V00115,K01210,C0055,2026-07-18,1200,1943.0,active,
P00066,V00122,K03314,C0060,2025-11-13,1050,2099.0,active,
P00068,V00125,K04108,C0061,2025-12-07,2200,1990.0,active,
P00070,V00130,K02845,C0063,2025-06-08,1100,2495.0,active,
P00071,V00132,K01234,C0064,2026-05-04,900,2024.0,active,
P00072,V00133,K03370,C0064,2025-08-11,1900,2034.0,active,
P00073,V00134,K00007,C0064,2025-07-08,900,2976.0,active,
P00074,V00139,K00113,C0066,2025-07-15,1100,2071.0,active,
P00075,V00141,K02744,C0066,2026-06-02,1300,2855.0,active,
P00076,V00143,K02571,C0067,2026-04-03,1250,1521.0,active,
P00077,V00144,K01455,C0068,2026-03-16,2050,1569.0,active,
P00078,V00145,K00146,C0068,2026-03-08,750,1967.0,active,
P00079,V00146,K03003,C0069,2026-02-09,1150,3114.0,active,
P00080,V00147,K03672,C0069,2026-04-16,2000,2027.0,active,
P00081,V00148,K02230,C0069,2025-12-11,1300,2546.0,active,
P00082,V00149,K00111,C0070,2025-07-18,1050,3078.0,active,
P00083,V00150,K04110,C0071,2026-02-15,2000,2481.0,active,
P00084,V00151,K00029,C0072,2025-10-26,1100,1990.0,active,
P00085,V00152,K02992,C0073,2026-04-07,1400,2913.0,active,
P00086,V00153,K02042,C0073,2026-01-20,2000,2433.0,active,
P00087,V00154,K03760,C0074,2026-07-17,1700,3019.0,active,
P00088,V00156,K02489,C0074,2026-04-25,-1200,2462.0,active,
P00089,V00159,K02767,C0077,2025-06-27,1350,3127.0,active,
P00090,V00160,K02963,C0077,2026-05-06,1500,2549.0,active,
P00091,V00162,K01308,C0078,2025-08-17,1650,2093.0,active,
P00092,V00163,K00222,C0078,2025-09-17,1950,1461.0,active,
P00093,V00164,K01742,C0078,2026-02-08,1700,2593.0,active,
P00094,V00166,K04017,C0080,2026-05-08,750,1973.0,active,
P00095,V00167,K01250,C0081,2026-04-23,700,1911.0,active,
P00096,V00171,K01147,C0082,2025-12-10,2000,2942.0,active,
P00097,V00172,K01029,C0083,2026-06-28,2200,1467.0,active,
P00098,V00174,K01135,C0085,2025-08-01,1250,2905.0,active,
P00099,V00175,K00876,C0085,2025-11-22,750,2602.0,active,
P00100,V00177,K01934,C0087,2025-07-18,2000,2882.0,active,
P00101,V00178,K03514,C0087,2026-06-22,1300,1916.0,active,
P00102,V00180,K03709,C0088,2026-04-06,1050,1506.0,active,
P00103,V00181,K00511,C0088,2026-06-21,1700,2940.0,active,
P00104,V00182,K00649,C0089,2025-08-23,1800,3027.0,active,
P00105,V00186,K00272,C0089,2026-04-18,1550,2603.0,replaced,2026-05-29
P00106,V00187,K00266,C0090,2026-06-12,1550,2584.0,active,
P00107,V00188,K00524,C0090,2026-05-22,1300,3067.0,active,
P00108,V00191,K03871,C0091,2026-03-22,850,2058.0,active,
P00109,V00192,K00388,C0091,2025-11-21,1000,1557.0,active,
P00110,V00193,K03024,C0092,2026-02-04,2350,2869.0,active,
P00111,V00194,K00447,C0093,2026-03-17,1950,2014.0,active,
P00112,V00195,K01415,C0093,2026-05-14,900,1459.0,active,
P00113,V00197,K00239,C0094,2026-02-20,850,1533.0,active,
P00114,V00198,K03301,C0095,2025-10-06,1550,2435.0,active,
P00115,V00201,K03558,C0095,2026-01-02,750,3078.0,active,
P00116,V00202,K02313,C0095,2026-07-19,1550,1478.0,active,
P00117,V00203,K00993,C0096,2026-03-13,750,2410.0,active,
P00118,V00204,K01208,C0096,2026-04-06,1850,1461.0,active,
P00119,V00205,K00267,C0097,2026-06-04,1300,1490.0,active,
P00120,V00206,K02806,C0097,2026-04-08,1650,3022.0,active,
P00121,V00209,K02288,C0098,2026-03-07,2000,3046.0,active,
P00122,V00210,K01928,C0099,2025-10-04,750,3091.0,replaced,2026-03-13
P00123,V00212,K01354,C0100,2025-12-13,1050,2502.0,active,
P00124,V00213,K00814,C0100,2026-07-04,700,1934.0,active,
P00125,V00215,K01878,C0102,2026-06-30,2050,1533.0,active,
P00126,V00217,K03166,C0102,2025-11-21,1200,1485.0,active,
P00128,V00223,K01695,C0104,2025-11-21,2100,2411.0,active,
P00129,V00224,K00838,C0104,2025-11-25,2300,2970.0,active,
P00130,V00226,K04157,C0105,2025-12-17,900,2499.0,active,
P00131,V00231,K02498,C0106,2026-04-03,2050,1915.0,active,
P00132,V00232,K00071,C0107,2026-04-30,0,3125.0,active,
P00133,V00234,K02288,C0108,2026-02-13,2050,2503.0,active,
P00134,V00236,K03911,C0108,2026-04-24,1850,2587.0,active,
P00135,V00238,K03259,C0110,2026-05-13,2100,1441.0,active,
P00136,V00239,K03525,C0110,2026-07-09,1950,1470.0,active,
P00137,V00241,K00671,C0111,2025-12-20,2200,1916.0,active,
P00138,V00242,K03420,C0112,2026-07-17,1300,1473.0,active,
P00139,V00243,K01401,C0112,2025-11-14,2300,2402.0,active,
P00140,V00245,K01215,C0113,2025-10-22,1050,1515.0,active,
P00141,V00248,K03349,C0114,2025-12-05,900,2018.0,active,
P00142,V00253,K02056,C0116,2026-04-18,900,3111.0,active,
P00143,V00254,K02517,C0116,2026-04-14,1050,2071.0,active,
P00144,V00255,K00531,C0117,2025-10-13,950,1973.0,active,
P00145,V00256,K03398,C0117,2025-11-22,1550,3139.0,active,
P00146,V00257,K01788,C0118,2025-10-07,0,3020.0,active,
P00147,V00258,K02163,C0118,2025-12-07,1700,2054.0,active,
P00148,V00259,K00074,C0118,2026-07-22,700,2483.0,active,
P00149,V00260,K04069,C0119,2026-03-18,1850,1429.0,active,
P00150,V00261,K00478,C0119,2025-11-23,1450,2451.0,active,
P00151,V00262,K00260,C0119,2026-07-24,1650,2576.0,active,
P00152,V00264,K00361,C0120,2026-07-06,1700,2573.0,active,
P00153,V00265,K02098,C0121,2025-10-01,900,1508.0,active,
P00154,V00267,K02414,C0121,2026-06-30,950,1497.0,active,
P00155,V00268,K00532,C0121,2026-07-21,1650,1560.0,active,
P00157,V00272,K01207,C0123,2026-04-11,1400,1547.0,active,
P00158,V00273,K00560,C0123,2025-12-20,1150,1945.0,active,
P00159,V00274,K03752,C0123,2026-06-29,1000,1465.0,active,
P00160,V00281,K03791,C0127,2026-02-13,1600,3104.0,active,
P00161,V00282,K02026,C0127,2026-07-10,1000,2939.0,active,
P00162,V00288,K02561,C0132,2026-02-23,900,2868.0,active,
P00163,V00289,K02003,C0132,2025-12-18,1500,1492.0,active,
P00164,V00290,K00401,C0133,2026-02-12,900,1484.0,active,
P00166,V00293,K01888,C0134,2026-07-05,1300,3087.0,active,
P00167,V00294,K00964,C0134,2026-01-16,1700,1454.0,active,
P00168,V00298,K04198,C0136,2025-12-30,750,2000.0,active,
P00169,V00299,K03476,C0136,2026-07-10,1100,2927.0,active,
P00170,V00300,K00075,C0136,2025-11-20,2400,2538.0,active,
P00171,V00301,K02722,C0137,2026-07-23,1250,1542.0,active,
P00172,V00302,K01711,C0137,2026-05-29,1500,3140.0,active,
P00173,V00303,K00927,C0137,2026-04-04,1850,1977.0,active,
P00174,V00305,K03773,C0138,2026-02-24,1050,2465.0,active,
P00175,V00306,K03508,C0138,2026-02-24,2400,3124.0,active,
P00176,V00310,K02926,C0141,2026-02-13,800,1481.0,active,
P00177,V00312,K01018,C0143,2026-03-26,950,2494.0,replaced,2026-06-02
P00178,V00314,K04141,C0144,2026-07-23,1150,2853.0,active,
P00179,V00315,K01186,C0144,2025-11-21,1300,1487.0,active,
P00180,V00322,K01137,C0148,2026-07-17,1950,3104.0,active,
P00181,V00324,K02904,C0150,2026-03-06,950,1537.0,active,
P00182,V00325,K01186,C0151,2026-01-29,1400,1462.0,replaced,2026-05-13
P00183,V00326,K03269,C0152,2026-01-12,850,1543.0,active,
P00184,V00334,K02293,C0154,2025-11-07,2200,3122.0,active,
P00185,V00336,K02634,C0155,2026-02-11,1100,1513.0,active,
P00186,V00337,K01410,C0155,2026-01-10,1300,2554.0,active,
P00187,V00338,K03538,C0156,2026-05-10,1150,2867.0,active,
P00188,V00339,K04190,C0156,2026-07-19,950,1527.0,active,
P00189,V00341,K00221,C0156,2026-02-23,1600,2931.0,active,
P00190,V00342,K03146,C0157,2026-02-01,1900,1982.0,active,
P00191,V00344,K03851,C0159,2026-06-24,1050,2076.0,active,
P00192,V00347,K04212,C0160,2026-06-28,1150,2925.0,active,
P00193,V00348,K01250,C0160,2026-02-15,1100,2562.0,active,
P00194,V00349,K01076,C0161,2025-12-17,900,2466.0,active,
P00195,V00352,K03149,C0164,2026-04-16,750,3013.0,active,
P00196,V00353,K01227,C0164,2026-03-28,1900,1565.0,active,
P00197,V00354,K03993,C0164,2025-11-07,1700,3078.0,active,
P00198,V00355,K02217,C0165,2025-12-05,850,2618.0,active,
P00200,V00358,K03951,C0168,2026-04-20,750,1475.0,active,
P00201,V00361,K02521,C0169,2026-01-07,1450,1556.0,active,
P00202,V00366,K00300,C0171,2026-01-25,1950,2909.0,active,
P00203,V00367,K00438,C0172,2026-06-24,1350,2521.0,active,
P00204,V00369,K03997,C0174,2026-04-01,750,3014.0,active,
P00205,V00370,K02248,C0174,2026-04-11,1000,1944.0,active,
P00206,V00371,K03571,C0174,2026-03-03,1900,1426.0,active,
P00207,V00374,K01995,C0175,2026-03-05,750,1931.0,replaced,2026-06-03
P00208,V00375,K00533,C0176,2026-05-14,1150,2922.0,active,
P00210,V00378,K03959,C0178,2026-04-20,2400,2598.0,active,
P00211,V00379,K01443,C0178,2026-01-20,700,1494.0,active,
P00212,V00380,K01503,C0178,2026-07-10,1050,2475.0,active,
P00213,V00381,K00497,C0178,2026-07-01,1150,2043.0,active,
P00214,V00382,K01237,C0178,2026-02-11,800,2891.0,active,
P00215,V00383,K03234,C0179,2026-02-09,1850,2562.0,active,
P00216,V00384,K03560,C0179,2026-07-19,950,2505.0,active,
P00217,V00385,K01244,C0180,2026-02-08,1300,2931.0,active,
P00218,V00387,K01054,C0181,2026-01-07,2200,2085.0,active,
P00219,V00389,K02349,C0182,2026-07-29,1150,2556.0,active,
P00220,V00391,K01866,C0183,2026-05-04,950,1430.0,active,
P00221,V00392,K00868,C0184,2026-03-22,1050,2616.0,active,
P00222,V00394,K01799,C0185,2026-03-13,1150,1531.0,active,
P00223,V00398,K01743,C0187,2026-03-14,950,1990.0,active,
P00224,V00399,K01052,C0188,2026-02-14,1100,2506.0,active,
P00225,V00401,K04238,C0190,2026-04-05,2050,1489.0,active,
P00226,V00403,K02403,C0192,2026-07-09,900,1492.0,active,
P00227,V00404,K03736,C0192,2026-06-27,1700,1451.0,active,
P00228,V00405,K03724,C0193,2026-04-26,1550,2086.0,replaced,2026-07-04
P00229,V00407,K02818,C0194,2026-06-01,1150,2527.0,active,
P00230,V00410,K01763,C0195,2026-04-13,1350,1501.0,active,
P00231,V00413,K02502,C0196,2026-03-11,1900,2529.0,active,
P00232,V00415,K04090,C0197,2026-06-14,2100,3017.0,active,
P00233,V00416,K01296,C0198,2026-01-30,1100,2402.0,active,
P00234,V00418,K00503,C0199,2026-05-08,800,1981.0,active,
P00235,V00421,K02823,C0201,2026-03-20,2000,2901.0,active,
P00236,V00422,K04058,C0201,2026-04-30,1950,2579.0,active,
P00237,V00423,K00899,C0202,2026-07-06,1100,1492.0,active,
P00238,V00424,K02286,C0202,2026-07-13,1100,2988.0,active,
P00239,V00425,K01083,C0203,2026-03-02,1050,1430.0,active,
P00240,V00426,K00053,C0203,2026-06-02,1550,1942.0,active,
P00241,V00427,K04163,C0204,2026-02-28,1050,3057.0,active,
P00242,V00429,K03176,C0205,2026-05-01,900,2006.0,active,
P00243,V00434,K00238,C0207,2026-07-28,2000,2039.0,active,
P00244,V00437,K03633,C0209,2026-03-30,1400,2904.0,active,
P00245,V00438,K00427,C0209,2026-07-29,1100,2561.0,active,
P00246,V00441,K04052,C0210,2026-07-20,900,2419.0,active,
P00247,V00442,K02133,C0210,2026-04-28,800,2029.0,active,
P00248,V00444,K01993,C0211,2026-06-23,950,2393.0,active,
P00249,V00445,K01757,C0212,2026-05-01,950,1456.0,active,
P00250,V00450,K03658,C0213,2026-03-25,1150,3098.0,active,
P00251,V00453,K03258,C0215,2026-05-30,1100,1955.0,active,
P00252,V00454,K02212,C0215,2026-04-27,1700,1995.0,active,
P00253,V00455,K02193,C0216,2026-04-23,1150,1974.0,active,
P00254,V00458,K03776,C0219,2026-07-09,1650,1484.0,active,
P00255,V00460,K03933,C0220,2026-05-22,1050,2623.0,active,
P00256,V00461,K01677,C0220,2026-05-15,950,3022.0,active,
P00257,V00462,K03430,C0221,2026-07-15,1050,1970.0,active,
P00258,V00464,K01456,C0223,2026-07-20,1600,2480.0,active,
P00259,V00465,K03591,C0224,2026-07-14,750,2583.0,active,
P00260,V00468,K02347,C0225,2026-07-13,1900,2957.0,active,
P00261,V00470,K03186,C0227,2026-06-27,1100,2003.0,active,
P00262,V00471,K03105,C0228,2026-06-03,1850,2529.0,active,
P00263,V00472,K00826,C0228,2026-07-07,1450,1954.0,active,
P00264,V00473,K02976,C0228,2026-08-09,2300,1438.0,active,
P00265,V00474,K03098,C0228,2026-07-06,1850,1932.0,active,
P00267,V00476,K01465,C0229,2026-06-30,800,3092.0,active,
P00268,V00477,K02787,C0229,2026-05-20,1500,2883.0,active,
P00270,V00479,K00239,C0229,2026-05-24,1900,2956.0,active,
P00271,V00480,K02685,C0230,2026-08-09,2350,2501.0,active,
P00272,V00481,K02526,C0230,2026-05-25,1000,1574.0,active,
P00273,V00486,K01646,C0232,2026-04-26,1700,2506.0,active,
P00274,V00487,K02722,C0233,2026-06-08,2000,3014.0,active,
P00275,V00488,K01166,C0233,2026-06-08,1300,2406.0,active,
P00276,V00490,K02494,C0234,2026-04-11,700,1915.0,active,
P00277,V00493,K03024,C0234,2026-04-23,1100,1528.0,active,
P00278,V00495,K03260,C0235,2026-06-04,1250,1973.0,active,
P00279,V00500,K01796,C0236,2026-07-09,2200,1567.0,active,
P00280,V00503,K01178,C0237,2026-05-17,1350,3072.0,active,
P00281,V00507,K02721,C0239,2026-05-27,1700,2867.0,active,
P00282,V00508,K03799,C0239,2026-05-03,800,2431.0,active,
P00283,V00509,K01206,C0239,2026-06-04,1050,1995.0,active,
P00284,V00510,K00665,C0240,2026-06-16,1800,1528.0,active,
P00285,V00511,K02606,C0240,2026-07-21,2150,1514.0,active,
P00286,V00513,K03064,C0241,2026-07-28,1000,1902.0,active,
P00287,V00514,K01046,C0241,2026-06-25,750,1966.0,active,
P00288,V00515,K03022,C0241,2026-05-16,1600,2492.0,active,
P00289,V00517,K02176,C0243,2026-06-17,1300,1972.0,active,
P00290,V00518,K01072,C0244,2026-05-05,1300,3138.0,active,
P00291,V00519,K03996,C0245,2026-08-08,950,1504.0,active,
P00292,V00522,K04090,C0246,2026-06-21,1300,2540.0,active,
P00293,V00524,K01783,C0247,2026-05-25,2250,2556.0,active,
P00294,V00525,K03985,C0247,2026-07-04,2200,2852.0,active,
P00295,V00528,K03183,C0249,2026-06-25,2100,2982.0,active,
P00296,V00529,K03266,C0250,2026-07-23,1250,1904.0,active,
P00297,V00532,K01910,C0252,2026-06-08,1300,1500.0,active,
P00298,V00534,K03552,C0252,2026-06-22,2050,2040.0,active,
P00299,V00535,K00472,C0253,2026-07-02,1450,2055.0,active,
P00300,V00536,K03200,C0254,2026-07-21,1300,1998.0,active,
P00301,V00537,K01749,C0255,2026-06-28,1300,1554.0,active,
P00302,V00540,K01445,C0256,2026-06-17,700,2531.0,active,
P00303,V00545,K02280,C0259,2026-07-14,1100,1986.0,active,
P00304,V00546,K00534,C0260,2026-07-25,1600,3023.0,active,
P00305,V00548,K01935,C0260,2026-06-15,1400,2471.0,active,
P00306,V00549,K00333,C0261,2026-06-21,800,1548.0,active,
P00307,V00553,K01940,C0262,2026-06-04,1300,2621.0,active,
P00308,V00557,K00948,C0263,2026-06-24,1350,1992.0,active,
P00309,V00559,K00775,C0265,2026-07-15,1500,2543.0,active,
P00310,V00560,K04166,C0265,2026-07-28,1750,2496.0,active,
P00311,V00561,K01420,C0265,2026-06-19,1100,2088.0,active,
P00313,V00566,K00934,C0268,2026-07-17,1150,1941.0,active,
P00314,V00567,K03168,C0269,2026-07-04,950,2412.0,active,
P00315,V00572,K03650,C0273,2026-07-26,850,1469.0,active,
P00316,V00573,K02417,C0273,2026-08-03,2350,1489.0,active,
P00317,V00585,K04018,C0277,2026-07-31,1300,1948.0,active,
P00318,V00588,K00853,C0277,2026-07-27,850,1930.0,active,
P00319,V00590,K01397,C0278,2026-07-28,900,2021.0,active,
P00320,V00592,K00374,C0279,2026-08-01,2000,2385.0,active,
P00321,V00596,K01991,C0281,2026-07-19,800,1438.0,active,
P00322,V00599,K01750,C0283,2026-07-24,900,3064.0,active,
P00323,V00604,K01180,C0285,2026-07-23,1850,3119.0,active,
P00324,V00605,K02671,C0286,2026-07-19,950,3141.0,active,
P00325,V00615,K03179,C0291,2026-08-07,-1200,2462.0,active,
P00326,V00618,K00172,C0293,2026-08-08,1700,2970.0,active,
