interview_id,submittal_id,scheduled_date,completed,no_show,outcome
I000113,S000209,2026-04-06,1,0,pass
I000114,S000211,2026-04-15,1,0,offer
I000115,S000213,2026-04-17,1,0,pass
I000116,S000215,2026-04-22,1,0,pass
I000117,S000217,2026-05-01,1,0,pass
I000118,S000218,2026-04-29,1,0,pass
I000119,S000221,2025-09-25,1,0,pass
I000120,S000222,2025-10-01,1,0,pass
I000121,S000225,2025-10-10,1,0,pass
I000122,S000226,2025-10-17,1,0,pass
I000123,S000227,2025-10-31,1,0,pass
I000124,S000228,2025-10-30,1,0,pass
I000125,S000231,2026-02-27,1,0,pass
I000126,S000232,2026-03-07,1,0,pass
I000127,S000234,2025-09-12,1,0,pass
I000128,S000240,2025-09-25,1,0,pass
I000129,S000243,2025-10-31,1,0,pass
I000130,S000244,2025-11-07,1,0,pass
I000131,S000246,2025-11-07,1,0,pass
I000132,S000247,2025-11-18,1,0,offer
I000133,S000250,2025-12-27,1,0,pass
I000134,S000252,2026-01-05,1,0,pass
I000135,S000253,2026-01-09,1,0,offer
I000136,S000254,2026-01-13,1,0,pass
I000137,S000255,2026-01-14,1,0,pass
I000138,S000257,2025-08-23,1,0,offer
I000139,S000260,2025-09-06,1,0,pass
I000140,S000263,2026-06-16,1,0,pass
I000141,S000264,2026-06-19,1,0,pass
I000142,S000265,2026-06-27,1,0,offer
I000143,S000266,2026-06-26,1,0,pass
I000144,S000267,2026-02-24,1,0,offer
I000145,S000268,2026-03-02,1,0,pass
I000146,S000269,2026-03-01,1,0,pass
I000147,S000273,2026-03-25,0,1,no_show
I000148,S000274,2026-04-02,1,0,offer
I000149,S000281,2025-12-14,1,0,offer
I000150,S000284,2026-03-24,1,0,pass
I000151,S000285,2026-03-31,1,0,offer
I000152,S000286,2026-03-31,1,0,pass
I000153,S000291,2025-09-04,1,0,pass
I000154,S000293,2026-02-03,1,0,offer
I000155,S000296,2026-02-20,1,0,pass
I000156,S000297,2025-05-25,1,0,pass
I000157,S000298,2025-05-21,1,0,pass
I000158,S000299,2025-06-02,1,0,pass
I000159,S000300,2026-01-27,1,0,pass
I000160,S000302,2026-02-03,1,0,offer
I000161,S000303,2026-02-09,1,0,pass
I000162,S000306,2025-05-09,1,0,offer
I000163,S000308,2025-05-15,1,0,pass
I000164,S000309,2025-05-14,1,0,pass
I000165,S000310,2025-03-30,1,0,offer
I000166,S000311,2025-03-28,1,0,pass
I000167,S000313,2025-04-15,1,0,pass
I000168,S000315,2025-04-21,1,0,pass
I000169,S000318,2026-05-05,1,0,offer
I000170,S000319,2026-05-19,1,0,pass
I000171,S000320,2025-09-09,1,0,pass
I000172,S000322,2025-09-17,1,0,pass
I000173,S000323,2025-09-24,1,0,offer
I000174,S000325,2025-09-27,1,0,pass
I000175,S000327,2025-10-07,1,0,pass
I000176,S000329,2025-10-15,1,0,pass
I000177,S000330,2025-10-14,1,0,pass
I000178,S000331,2025-10-18,1,0,offer
I000179,S000334,2025-10-30,1,0,pass
I000180,S000335,2025-11-04,1,0,pass
I000181,S000336,2025-11-04,1,0,pass
I000182,S000339,2025-12-06,1,0,pass
I000183,S000341,2025-12-10,1,0,offer
I000184,S000344,2025-12-20,1,0,pass
I000185,S000350,2026-01-30,1,0,offer
I000186,S000352,2026-01-31,1,0,pass
I000187,S000353,2026-02-04,1,0,pass
I000188,S000354,2026-05-16,1,0,offer
I000189,S000355,2025-08-05,1,0,offer
I000190,S000356,2025-08-15,0,1,no_show
I000191,S000359,2025-12-02,1,0,pass
I000192,S000360,2025-11-28,1,0,offer
I000193,S000364,2025-12-12,1,0,offer
I000194,S000365,2025-12-17,1,0,pass
I000195,S000366,2025-12-21,1,0,pass
I000196,S000367,2025-12-21,1,0,pass
I000197,S000372,2025-03-19,1,0,pass
I000198,S000373,2025-08-27,1,0,pass
I000199,S000374,2025-09-10,1,0,pass
I000200,S000376,2025-09-17,1,0,pass
I000201,S000378,2025-09-27,1,0,offer
I000202,S000379,2025-07-27,1,0,pass
I000203,S000381,2025-08-01,1,0,pass
I000204,S000382,2025-08-06,1,0,pass
I000205,S000383,2025-08-01,1,0,offer
I000206,S000384,2025-07-31,1,0,pass
I000207,S000385,2025-08-11,1,0,pass
I000208,S000387,2025-10-23,1,0,pass
I000209,S000390,2026-06-09,0,1,no_show
I000210,S000395,2026-07-06,1,0,pass
I000211,S000396,2026-07-10,1,0,pass
I000212,S000397,2026-05-13,1,0,pass
I000213,S000398,2026-05-14,1,0,offer
I000214,S000400,2026-05-20,1,0,pass
I000215,S000401,2026-05-26,1,0,pass
I000216,S000403,2026-06-17,1,0,offer
I000217,S000404,2026-06-17,1,0,pass
I000218,S000405,2026-06-18,0,1,no_show
I000219,S000406,2026-06-22,1,0,pass
I000220,S000408,2026-06-27,1,0,pass
I000221,S000409,2026-06-30,1,0,pass
I000222,S000410,2025-10-08,0,1,no_show
I000223,S000411,2025-10-15,1,0,pass
I000224,S000413,2025-10-19,1,0,offer
I000225,S000418,2025-03-28,0,1,no_show
I000226,S000419,2025-03-23,1,0,offer
I000227,S000421,2025-04-03,1,0,pass
I000228,S000424,2025-03-11,1,0,offer
I000229,S000426,2025-03-25,1,0,pass
I000230,S000427,2025-04-02,1,0,offer
I000231,S000430,2025-03-23,1,0,offer
I000232,S000444,2025-04-01,1,0,offer
I000233,S000446,2025-09-27,1,0,pass
I000234,S000447,2025-10-05,1,0,offer
I000235,S000450,2025-10-07,1,0,pass
I000236,S000451,2025-10-11,0,1,no_show
I000237,S000455,2025-09-11,1,0,pass
I000238,S000456,2025-09-12,0,1,no_show
I000239,S000458,2025-09-24,1,0,offer
I000240,S000461,2025-10-17,1,0,offer
I000241,S000462,2025-10-14,1,0,pass
I000242,S000464,2025-05-24,0,1,no_show
I000243,S000466,2025-05-29,1,0,offer
I000244,S000467,2025-06-06,1,0,pass
I000245,S000470,2025-07-26,1,0,pass
I000246,S000472,2025-03-12,1,0,offer
I000247,S000474,2025-03-31,1,0,pass
I000248,S000478,2025-04-10,1,0,pass
I000249,S000483,2026-06-26,1,0,pass
I000250,S000487,2025-11-13,1,0,pass
I000251,S000488,2025-11-16,1,0,offer
I000252,S000491,2026-04-18,0,1,no_show
I000253,S000492,2026-04-25,1,0,offer
I000254,S000496,2026-05-01,1,0,pass
I000255,S000498,2026-05-22,1,0,pass
I000256,S000499,2026-05-23,1,0,pass
I000257,S000500,2026-05-31,1,0,pass
I000258,S000505,2026-06-30,1,0,pass
I000259,S000506,2026-07-05,1,0,offer
I000260,S000508,2026-07-12,1,0,pass
I000261,S000511,2025-09-01,1,0,pass
I000262,S000512,2025-09-15,1,0,pass
I000263,S000513,2025-09-17,1,0,pass
I000264,S000514,2025-09-21,1,0,pass
I000265,S000515,2025-12-04,1,0,pass
I000266,S000517,2025-12-23,1,0,offer
I000267,S000521,2026-01-08,1,0,pass
I000268,S000522,2025-10-10,1,0,pass
I000269,S000523,2025-10-15,1,0,offer
I000270,S000525,2025-10-24,1,0,pass
I000271,S000527,2025-11-01,1,0,pass
I000272,S000531,2025-07-02,1,0,pass
I000273,S000532,2025-07-13,1,0,offer
I000274,S000533,2025-07-10,1,0,offer
I000275,S000536,2025-07-23,1,0,pass
I000276,S000539,2026-07-01,1,0,pass
I000277,S000540,2026-07-02,1,0,pass
I000278,S000541,2026-07-05,1,0,pass
I000279,S000542,2026-07-09,1,0,offer
I000280,S000543,2026-07-22,1,0,pass
I000281,S000552,2025-12-31,1,0,offer
I000282,S000553,2025-09-26,1,0,offer
I000283,S000554,2025-09-30,1,0,pass
I000284,S000556,2025-10-03,1,0,pass
I000285,S000558,2025-04-08,1,0,pass
I000286,S000560,2025-06-29,1,0,pass
I000287,S000561,2025-06-29,1,0,offer
I000288,S000562,2025-07-02,1,0,pass
I000289,S000564,2025-07-07,1,0,pass
I000290,S000565,2025-07-10,1,0,pass
I000291,S000568,2025-10-26,0,1,no_show
I000292,S000569,2025-10-27,1,0,pass
I000293,S000570,2025-11-11,1,0,pass
I000294,S000572,2025-11-13,1,0,offer
I000295,S000573,2025-11-24,1,0,pass
I000296,S000576,2025-07-15,1,0,offer
I000297,S000577,2025-07-21,1,0,pass
I000298,S000578,2025-07-24,1,0,pass
I000299,S000580,2026-05-22,1,0,pass
I000300,S000582,2026-04-10,1,0,pass
I000301,S000585,2025-11-08,1,0,pass
I000302,S000586,2025-11-05,1,0,offer
I000303,S000587,2025-11-08,1,0,pass
I000304,S000588,2025-03-23,1,0,pass
I000305,S000593,2025-04-19,1,0,offer
I000306,S000595,2026-06-04,1,0,offer
I000307,S000596,2025-04-28,1,0,offer
I000308,S000597,2025-05-05,1,0,pass
I000309,S000602,2025-04-21,1,0,pass
I000310,S000604,2025-05-07,1,0,offer
I000311,S000605,2025-05-10,1,0,pass
I000312,S000606,2025-05-18,1,0,pass
I000313,S000607,2026-06-10,1,0,pass
I000314,S000608,2026-06-20,1,0,pass
I000315,S000609,2026-06-12,1,0,offer
I000316,S000610,2026-06-25,1,0,offer
I000317,S000613,2026-07-05,1,0,pass
I000318,S000616,2025-12-30,1,0,offer
I000319,S000617,2025-12-26,1,0,pass
I000320,S000620,2025-12-08,1,0,offer
I000321,S000627,2026-06-19,1,0,pass
I000322,S000629,2026-06-25,1,0,pass
I000323,S000631,2026-07-02,1,0,offer
I000324,S000639,2026-02-02,1,0,pass
I000325,S000641,2026-02-09,0,1,no_show
I000326,S000642,2026-02-17,1,0,pass
I000327,S000644,2026-02-23,1,0,offer
I000328,S000648,2025-11-18,1,0,pass
I000329,S000653,2026-05-04,1,0,offer
I000330,S000654,2026-05-09,1,0,pass
I000331,S000655,2026-05-05,1,0,pass
I000332,S000658,2026-03-11,1,0,pass
I000333,S000659,2026-03-17,1,0,offer
I000334,S000660,2026-03-18,1,0,pass
I000335,S000668,2025-06-21,1,0,pass
I000336,S000671,2025-06-30,1,0,pass
I000337,S000678,2025-09-24,1,0,pass
I000338,S000679,2025-10-09,1,0,pass
I000339,S000680,2025-06-03,1,0,offer
I000340,S000684,2025-06-20,1,0,pass
I000341,S000692,2026-01-13,1,0,pass
I000342,S000695,2026-02-01,1,0,offer
I000343,S000696,2026-05-14,1,0,offer
I000344,S000697,2026-05-25,1,0,pass
I000345,S000698,2026-05-24,1,0,pass
I000346,S000699,2026-05-27,1,0,pass
I000347,S000700,2026-05-26,1,0,pass
I000348,S000701,2026-06-01,1,0,pass
I000349,S000702,2026-06-05,1,0,pass
I000350,S000704,2025-10-14,1,0,offer
I000351,S000705,2025-10-12,1,0,pass
I000352,S000709,2025-10-16,1,0,offer
I000353,S000710,2025-10-20,1,0,pass
I000354,S000711,2025-10-21,1,0,pass
I000355,S000713,2026-04-15,1,0,pass
I000356,S000714,2026-04-12,1,0,pass
I000357,S000715,2026-04-15,1,0,pass
I000358,S000716,2026-04-19,1,0,pass
I000359,S000717,2026-04-22,1,0,offer
I000360,S000721,2025-08-30,1,0,pass
I000361,S000723,2025-09-05,1,0,pass
I000362,S000727,2025-09-28,1,0,pass
I000363,S000729,2025-09-29,1,0,pass
I000364,S000732,2026-06-30,1,0,pass
I000365,S000733,2026-07-02,1,0,pass
I000366,S000736,2026-07-14,1,0,pass
I000367,S000737,2025-07-10,1,0,pass
I000368,S000738,2025-07-07,1,0,pass
I000369,S000740,2025-07-18,1,0,pass
I000370,S000741,2025-07-20,1,0,offer
I000371,S000743,2025-10-07,1,0,pass
I000372,S000745,2025-10-11,1,0,pass
I000373,S000750,2025-06-25,1,0,pass
I000374,S000752,2025-07-12,1,0,pass
I000375,S000753,2025-07-19,1,0,offer
I000376,S000755,2025-11-26,1,0,offer
I000377,S000758,2025-12-05,1,0,offer
I000378,S000759,2025-12-04,1,0,pass
I000379,S000762,2025-10-03,1,0,pass
I000380,S000766,2025-10-22,1,0,offer
I000381,S000768,2025-10-29,1,0,offer
I000382,S000771,2025-11-10,1,0,pass
I000383,S000772,2025-11-09,1,0,pass
I000384,S000773,2025-11-13,0,1,no_show
I000385,S000774,2025-11-20,1,0,pass
I000386,S000777,2026-04-30,1,0,pass
I000387,S000780,2026-05-10,1,0,pass
I000388,S000785,2025-05-08,1,0,pass
I000389,S000787,2025-05-14,1,0,offer
I000390,S000791,2026-02-09,1,0,pass
I000391,S000792,2026-02-15,1,0,offer
I000392,S000793,2026-02-18,1,0,pass
I000393,S000795,2025-07-13,1,0,offer
I000394,S000797,2025-07-18,1,0,pass
I000395,S000798,2025-07-23,1,0,pass
I000396,S000799,2025-07-27,1,0,pass
I000397,S000800,2025-06-20,1,0,pass
I000398,S000801,2025-06-28,1,0,pass
I000399,S000802,2025-06-27,1,0,pass
I000400,S000806,2025-07-10,1,0,pass
I000401,S000807,2025-07-22,1,0,offer
I000402,S000809,2025-08-21,1,0,offer
I000403,S000810,2025-09-03,1,0,pass
I000404,S000813,2025-08-31,1,0,pass
I000405,S000814,2025-09-09,1,0,pass
I000406,S000815,2025-09-04,1,0,pass
I000407,S000817,2025-09-12,0,1,no_show
I000408,S000822,2025-09-03,1,0,pass
I000409,S000825,2025-07-01,1,0,offer
I000410,S000826,2025-07-07,0,1,no_show
I000411,S000827,2025-07-10,1,0,pass
I000412,S000829,2025-07-15,1,0,pass
I000413,S000831,2025-12-29,1,0,pass
I000414,S000834,2026-01-08,1,0,offer
I000415,S000835,2026-01-11,1,0,pass
I000416,S000838,2026-01-21,1,0,pass
I000417,S000839,2025-05-20,1,0,offer
I000418,S000840,2025-05-17,0,1,no_show
I000419,S000844,2025-06-09,1,0,pass
I000420,S000845,2025-06-09,1,0,pass
I000421,S000846,2025-06-13,1,0,pass
I000422,S000849,2026-03-10,1,0,pass
I000423,S000850,2026-03-11,1,0,offer
I000424,S000851,2026-03-10,1,0,pass
I000425,S000855,2025-07-01,1,0,offer
I000426,S000856,2025-07-02,1,0,pass
I000427,S000860,2025-07-24,1,0,pass
I000428,S000863,2026-05-25,1,0,pass
I000429,S000866,2026-06-10,1,0,offer
I000430,S000867,2026-01-12,1,0,pass
I000431,S000869,2026-01-16,1,0,pass
I000432,S000871,2026-01-22,1,0,pass
I000433,S000872,2026-01-21,1,0,pass
I000434,S000873,2026-02-02,1,0,pass
I000435,S000875,2026-02-04,1,0,pass
I000436,S000876,2026-02-04,1,0,pass
I000437,S000877,2026-04-28,0,1,no_show
I000438,S000880,2026-05-06,1,0,pass
I000439,S000882,2026-05-16,1,0,pass
I000440,S000883,2026-05-14,1,0,pass
I000441,S000885,2025-09-03,1,0,pass
I000442,S000886,2025-09-03,1,0,pass
I000443,S000887,2025-09-03,1,0,pass
I000444,S000888,2025-09-08,1,0,pass
I000445,S000890,2026-07-14,1,0,pass
I000446,S000893,2026-01-04,1,0,pass
I000447,S000895,2026-01-17,1,0,pass
I000448,S000901,2025-07-29,1,0,offer
I000449,S000902,2025-08-01,1,0,pass
I000450,S000904,2026-05-06,0,1,no_show
I000451,S000906,2026-05-14,1,0,pass
I000452,S000907,2026-07-03,1,0,pass
I000453,S000908,2026-07-06,1,0,pass
I000454,S000909,2026-07-08,1,0,offer
I000455,S000910,2026-07-14,1,0,pass
I000456,S000912,2026-07-24,1,0,pass
I000457,S000915,2025-08-16,1,0,pass
I000458,S000917,2025-08-21,1,0,offer
I000459,S000919,2025-09-01,1,0,pass
I000460,S000923,2025-12-05,1,0,pass
I000461,S000927,2025-12-19,1,0,pass
I000462,S000929,2025-12-29,1,0,pass
I000463,S000930,2026-01-02,1,0,pass
I000464,S000931,2025-11-13,1,0,offer
I000465,S000933,2025-11-21,1,0,pass
I000466,S000936,2026-07-07,1,0,offer
I000467,S000939,2026-07-15,1,0,pass
I000468,S000940,2025-11-08,1,0,pass
I000469,S000942,2025-11-12,1,0,pass
I000470,S000944,2025-11-21,1,0,pass
I000471,S000945,2025-07-29,1,0,pass
I000472,S000946,2025-07-29,1,0,offer
I000473,S000948,2025-07-28,1,0,pass
I000474,S000951,2025-08-11,0,1,no_show
I000475,S000953,2025-05-06,1,0,offer
I000476,S000954,2025-05-09,1,0,pass
I000477,S000955,2025-05-15,1,0,pass
I000478,S000956,2025-11-13,1,0,pass
I000479,S000959,2025-05-24,1,0,pass
I000480,S000961,2025-06-06,0,1,no_show
I000481,S000963,2026-05-29,1,0,offer
I000482,S000965,2026-06-01,1,0,pass
I000483,S000967,2026-06-11,1,0,pass
I000484,S000969,2026-06-17,1,0,pass
I000485,S000971,2026-01-01,1,0,pass
I000486,S000976,2026-01-24,1,0,offer
I000487,S000977,2026-01-20,1,0,offer
I000488,S000978,2026-01-21,1,0,pass
I000489,S000982,2025-08-07,1,0,pass
I000490,S000984,2025-08-10,1,0,offer
I000491,S000986,2025-08-14,1,0,pass
I000492,S000988,2025-08-27,1,0,pass
I000493,S000990,2025-06-04,1,0,pass
I000494,S000992,2025-06-07,1,0,pass
I000495,S000993,2025-06-17,1,0,offer
I000496,S000998,2025-09-20,1,0,pass
I000497,S001002,2025-09-28,1,0,pass
I000498,S001004,2025-08-10,1,0,pass
I000499,S001009,2025-08-20,1,0,pass
I000500,S001010,2025-08-30,1,0,pass
I000501,S001011,2025-06-27,1,0,pass
I000502,S001013,2025-07-06,1,0,offer
I000503,S001015,2025-09-19,1,0,pass
I000504,S001016,2025-09-23,1,0,pass
I000505,S001018,2025-10-02,1,0,offer
I000506,S001019,2025-10-02,1,0,pass
I000507,S001020,2025-10-12,1,0,pass
I000508,S001023,2025-12-30,1,0,offer
I000509,S001025,2026-01-15,1,0,pass
I000510,S001026,2026-01-10,1,0,pass
I000511,S001027,2025-12-01,1,0,offer
I000512,S001028,2025-12-12,1,0,pass
I000513,S001030,2025-12-13,0,1,no_show
I000514,S001033,2025-10-01,1,0,pass
I000515,S001036,2025-10-17,1,0,offer
I000516,S001039,2025-11-27,1,0,pass
I000517,S001040,2025-12-06,1,0,pass
I000518,S001041,2025-12-06,1,0,offer
I000519,S001042,2025-12-09,1,0,pass
I000520,S001043,2025-12-19,1,0,pass
I000521,S001050,2026-01-15,1,0,pass
I000522,S001051,2026-01-19,1,0,pass
I000523,S001052,2026-01-24,1,0,pass
I000524,S001054,2026-02-02,1,0,offer
I000525,S001058,2025-09-27,1,0,pass
I000526,S001059,2025-10-02,1,0,pass
I000527,S001065,2026-02-23,1,0,offer
I000528,S001068,2026-04-21,1,0,pass
I000529,S001070,2026-04-23,1,0,pass
I000530,S001071,2026-04-27,1,0,offer
I000531,S001072,2026-05-02,1,0,offer
I000532,S001074,2026-05-10,1,0,pass
I000533,S001079,2025-07-27,1,0,pass
I000534,S001081,2025-08-03,1,0,pass
I000535,S001083,2025-08-05,1,0,pass
I000536,S001084,2025-08-22,1,0,pass
I000537,S001087,2025-09-04,1,0,offer
I000538,S001089,2025-09-13,1,0,pass
I000539,S001091,2025-08-20,1,0,pass
I000540,S001092,2025-08-31,1,0,pass
I000541,S001093,2025-09-03,1,0,offer
I000542,S001094,2025-09-09,0,1,no_show
I000543,S001097,2025-06-22,1,0,offer
I000544,S001099,2025-07-05,1,0,pass
I000545,S001103,2025-09-26,1,0,pass
I000546,S001105,2025-12-28,1,0,offer
I000547,S001111,2026-03-18,1,0,pass
I000548,S001112,2026-03-29,1,0,pass
I000549,S001113,2026-04-02,1,0,offer
I000550,S001114,2026-02-08,1,0,pass
I000551,S001116,2026-02-11,1,0,offer
I000552,S001118,2025-12-14,1,0,pass
I000553,S001119,2025-12-11,1,0,pass
I000554,S001120,2025-12-18,1,0,pass
I000555,S001123,2026-01-03,1,0,pass
I000556,S001124,2026-01-03,1,0,pass
I000557,S001125,2026-01-14,1,0,offer
I000558,S001127,2026-02-24,1,0,offer
I000559,S001128,2026-02-26,1,0,pass
I000560,S001130,2026-03-04,1,0,pass
I000561,S001133,2025-10-08,1,0,offer
I000562,S001136,2025-10-18,1,0,offer
I000563,S001137,2025-10-16,1,0,pass
I000564,S001138,2025-10-18,1,0,pass
I000565,S001142,2025-08-14,1,0,pass
I000566,S001144,2025-08-23,1,0,pass
I000567,S001145,2025-08-27,1,0,offer
I000568,S001146,2025-09-01,1,0,pass
I000569,S001151,2025-12-19,1,0,pass
I000570,S001152,2025-12-23,1,0,offer
I000571,S001154,2026-01-07,1,0,pass
I000572,S001157,2026-01-19,1,0,pass
I000573,S001159,2026-01-14,1,0,pass
I000574,S001164,2026-03-27,0,1,no_show
I000575,S001165,2025-09-22,1,0,pass
I000576,S001167,2025-09-27,1,0,pass
I000577,S001176,2025-12-11,1,0,pass
I000578,S001177,2025-12-14,1,0,pass
I000579,S001178,2025-12-20,1,0,pass
I000580,S001179,2025-09-30,0,1,no_show
I000581,S001181,2025-10-09,1,0,pass
I000582,S001182,2025-10-15,1,0,pass
I000583,S001188,2026-06-07,1,0,pass
I000584,S001189,2026-06-17,1,0,offer
I000585,S001191,2026-06-30,1,0,offer
I000586,S001192,2026-07-03,1,0,offer
I000587,S001195,2026-06-26,1,0,pass
I000588,S001197,2026-07-04,1,0,pass
I000589,S001198,2026-07-07,1,0,pass
I000590,S001200,2026-07-08,1,0,offer
I000591,S001201,2025-07-22,1,0,pass
I000592,S001202,2025-08-01,1,0,offer
I000593,S001212,2025-09-09,1,0,pass
I000594,S001215,2025-09-17,0,1,no_show
I000595,S001218,2025-08-30,1,0,pass
I000596,S001220,2025-09-14,1,0,offer
I000597,S001223,2025-08-26,0,1,no_show
I000598,S001226,2025-09-04,1,0,pass
I000599,S001229,2025-09-10,1,0,pass
I000600,S001230,2025-07-23,1,0,pass
I000601,S001235,2025-08-20,1,0,pass
I000602,S001237,2026-02-09,1,0,pass
I000603,S001238,2026-02-12,1,0,pass
I000604,S001239,2026-02-13,1,0,offer
I000605,S001240,2026-02-20,1,0,pass
I000606,S001241,2026-02-26,1,0,pass
I000607,S001244,2026-03-06,1,0,pass
I000608,S001245,2026-03-06,1,0,pass
I000609,S001250,2025-09-21,1,0,offer
I000610,S001252,2026-02-09,1,0,pass
I000611,S001253,2026-02-07,1,0,offer
I000612,S001255,2026-02-10,1,0,pass
I000613,S001258,2026-03-03,1,0,pass
I000614,S001263,2025-06-19,1,0,pass
I000615,S001264,2025-06-23,1,0,pass
I000616,S001266,2026-07-07,1,0,offer
I000617,S001267,2026-07-14,1,0,pass
I000618,S001271,2026-07-10,1,0,offer
I000619,S001272,2026-07-07,1,0,pass
I000620,S001273,2026-07-13,1,0,pass
I000621,S001278,2025-09-08,1,0,pass
I000622,S001281,2025-09-23,1,0,pass
I000623,S001285,2026-02-16,1,0,pass
I000624,S001286,2026-02-24,1,0,offer
I000625,S001287,2026-02-24,1,0,pass
I000626,S001289,2025-10-18,1,0,pass
I000627,S001291,2025-10-20,1,0,offer
I000628,S001295,2025-12-24,1,0,offer
I000629,S001296,2025-12-31,1,0,pass
I000630,S001298,2026-01-05,1,0,pass
I000631,S001301,2025-09-15,1,0,offer
I000632,S001303,2025-09-27,1,0,pass
